#WinSize=100	WinCount=31390658	DepthCount=29105695									
#All-N windows count: 0											
#GC%	RefCnt	DepthCnt	Mean	Small	Q1	Mid	Q3	Big	Min	Max	Refcntcal
0.5	2285822	1371	0.334179	0	0	0	0.2	0.49	0	23.48	0.0945074
1.5	950	950	0.479832	0	0	0	0.56	1.4	0	9.67	0.0654866
2.5	1146	1146	0.64233	0	0	0	0.68	1.68	0	14.04	0.0789975
3.5	1445	1445	0.820782	0	0	0	0.95	2.36	0	23.48	0.0996085
4.5	1526	1526	1.17079	0	0	0.07	1.47	3.67	0	16.43	0.105192
5.5	1609	1609	2.2771	0	0	0.42	2.02	5.05	0	1209.95	0.110914
6.5	1908	1906	3.36703	0	0	0.755	3.2	7.95	0	2232.73	0.131387
7.5	1924	1924	3.09295	0	0	1.1	4.27	10.61	0	504.67	0.132628
8.5	2219	2217	3.97626	0	0	1.98	5.66	14.1	0	286.28	0.152825
9.5	2475	2475	6.06907	0	0.32	3.09	7.46	18.05	0	1932.99	0.17061
10.5	3048	3046	7.48622	0	1.13	4.735	10.65	24.91	0	263.37	0.209971
11.5	3760	3759	10.326	0	2.15	7.01	14.49	32.96	0	445.89	0.25912
12.5	4941	4940	13.399	0	3.6725	9.845	19.35	42.85	0	659.37	0.34053
13.5	6678	6677	17.4066	0	6.11	14.33	27.01	58.35	0	239.54	0.460267
14.5	9661	9655	21.5206	0	9.41	19.89	32.27	65.92	0	249.65	0.66555
15.5	14213	14210	25.1515	0	13.04	25.24	35.86	70.01	0	175.84	0.979541
16.5	21225	21218	28.1543	0	17	28.82	38.13	69.51	0	708.75	1.46263
17.5	32216	32215	30.8923	0	20.94	31.83	40.21	69.07	0	321.35	2.22068
18.5	48458	48450	32.7503	0	23.81	33.56	41.52	68.06	0	869.68	3.33981
19.5	71066	71065	34.0493	0.64	25.7	34.71	42.41	67.46	0	1201.73	4.89874
20.5	102659	102644	35.2723	3.26	27.27	35.74	43.28	67.29	0	511.18	7.07558
21.5	143742	143741	36.1066	5.03	28.34	36.53	43.88	67.18	0	790.02	9.90853
22.5	195151	195150	36.7747	6.13	29.06	37.09	44.35	67.27	0	661.11	13.4523
23.5	257457	257449	37.285	7.21	29.74	37.53	44.76	67.27	0	952	17.7468
24.5	329946	329943	37.6402	7.97	30.21	37.93	45.04	67.28	0	1021.15	22.744
25.5	411798	411777	37.8843	8.41	30.49	38.16	45.21	67.29	0	1346.49	28.3851
26.5	497086	497079	38.1117	8.87	30.79	38.35	45.41	67.33	0	2134.61	34.2653
27.5	588209	588199	38.283	9.24	31.01	38.53	45.53	67.31	0	1795.13	40.5465
28.5	1439929	1439919	38.4963	9.59	31.22	38.69	45.64	67.27	0	204485	99.2583
29.5	31	29	38.5439	0	0	2.75676	18.6452	41.303	0	51.5758	0.00199906
30.5	843647	843633	38.5915	9.94	31.4	38.82	45.71	67.17	0	16679.8	58.1543
31.5	917152	917144	38.8602	10.06	31.45	38.83	45.71	67.1	0	214391	63.2217
32.5	982647	982645	39.1937	10.28	31.49	38.81	45.63	66.84	0	149171	67.7369
33.5	1034934	1034901	39.677	10.34	31.48	38.77	45.58	66.72	0	112395	71.3391
34.5	1074073	1074068	39.8244	10.45	31.44	38.67	45.44	66.44	0	115187	74.039
35.5	1105677	1105664	40.3231	10.43	31.35	38.56	45.3	66.22	0	183396	76.217
36.5	1119329	1119314	40.2426	10.3	31.17	38.39	45.09	65.97	0	181008	77.1579
37.5	1120928	1120913	39.9474	10.31	31.02	38.19	44.83	65.54	0	205491	77.2681
38.5	1105908	1105896	39.8276	10.33	30.89	37.99	44.6	65.16	0	217211	76.233
39.5	1076953	1076948	39.3156	10.28	30.7	37.76	44.32	64.75	0	215818	74.2375
40.5	1040167	1040142	38.8143	10.35	30.53	37.5	43.99	64.18	0	104265	71.7003
41.5	994299	994291	38.3641	10.24	30.3	37.23	43.68	63.75	0	268989	68.5397
42.5	947033	947015	37.6426	10.27	30.08	36.91	43.29	63.1	0	136080	65.2808
43.5	902470	902466	36.844	9.97	29.74	36.55	42.92	62.69	0	29371.9	62.2099
44.5	864431	864425	36.2485	9.82	29.39	36.14	42.44	62.01	0	95094.8	59.5876
45.5	831221	831212	35.6296	9.49	28.93	35.66	41.89	61.33	0	10843.6	57.2981
46.5	803324	803314	35.011	8.95	28.41	35.14	41.39	60.86	0	5169	55.375
47.5	779175	779167	34.5032	8.53	27.88	34.58	40.78	60.13	0	22300.7	53.7105
48.5	748772	748767	33.9716	8.07	27.37	34.07	40.24	59.54	0	14435.3	51.6149
49.5	710719	710719	33.4892	7.71	26.91	33.59	39.71	58.91	0	21143.8	48.9922
50.5	664475	664421	32.9294	7.41	26.51	33.18	39.25	58.36	0	6334.79	45.8007
51.5	611571	611568	32.4955	7.08	26.12	32.76	38.82	57.87	0	10888.7	42.1574
52.5	563051	563042	32.1316	6.78	25.75	32.37	38.4	57.37	0	28258.5	38.8123
53.5	518462	518454	31.6206	6.43	25.33	31.96	37.93	56.83	0	7380.19	35.7387
54.5	480298	480296	31.1612	6.01	24.89	31.53	37.48	56.36	0	10031.7	33.1084
55.5	444130	444118	30.6512	5.51	24.38	31.02	36.96	55.83	0	4231.79	30.6145
56.5	771124	771118	29.8175	4.5	23.5	30.2	36.17	55.17	0	4668.97	53.1556
57.5	318620	318610	28.738	2.99	22.26	29.07	35.11	54.38	0	3346.16	21.9628
58.5	102	99	28.2804	0	0	0.486486	4.46465	10.871	0	31.6566	0.00682439
59.5	273157	273156	27.8228	1.66	21.25	28.17	34.31	53.9	0	3097.55	18.8295
60.5	227897	227878	26.8553	0	20	27.1	33.36	53.4	0	6775.84	15.7084
61.5	187235	187229	25.5971	0	18.68	25.82	32.21	52.5	0	2413.19	12.9063
