#WinSize=100	WinCount=28966987	DepthCount=27083939
#All-N windows count: 0
#GC%	RefCnt	DepthCnt	Mean	SmoothedMean	Small	Q1	Mid	Q3	Big	Min	Max	Refcntcal
0.5	1884151	1251	0.310703	0.310703	0	0	0	0.21	0.52	0	14.77	0.0715154
1.5	865	865	0.442636	0.442636	0	0	0	0.54	1.34	0	8.89	0.0494491
2.5	1033	1033	0.610629	0.610629	0	0	0	0.67	1.66	0	11.82	0.0590531
3.5	1292	1292	0.790704	0.790704	0	0	0	0.97	2.42	0	21.45	0.0738593
4.5	1364	1364	1.0915	1.0915	0	0	0.13	1.45	3.61	0	13.3	0.0779753
5.5	1436	1436	1.42868	1.42868	0	0	0.49	1.95	4.82	0	19.77	0.0820913
6.5	1710	1710	3.13729	3.13729	0	0	0.81	3.02	7.53	0	1865.67	0.0977549
7.5	1701	1701	3.00136	3.00136	0	0	1.32	4.01	9.96	0	504.27	0.0972404
8.5	1945	1944	3.78201	3.78201	0	0.18	2.14	5.47	13.39	0	285.9	0.111132
9.5	2180	2180	4.9734	4.9734	0	0.61	3.1	6.9	16.31	0	207.41	0.124623
10.5	2702	2702	6.87382	6.87382	0	1.42	4.55	9.64	21.91	0	261.73	0.154464
11.5	3387	3387	9.40618	9.40618	0	2.49	6.64	13.21	29.18	0	441.71	0.193623
12.5	4482	4482	11.9075	11.9075	0	3.77	9.08	17.44	37.92	0	548.87	0.256221
13.5	6127	6127	15.0576	15.0576	0	5.84	13.08	22.93	48.43	0	143.61	0.35026
14.5	8896	8895	18.3319	18.3319	0	8.78	17.73	26.57	52.97	0	195.76	0.508497
15.5	13217	13217	20.9323	20.9323	0	11.87	21.1	28.85	54.29	0	131.51	0.755571
16.5	19864	19861	22.998	22.998	0	14.97	23.45	30.27	53.22	0	296.13	1.13539
17.5	30180	30180	25.015	25.015	0	17.74	25.32	32.06	53.52	0	274.17	1.72529
18.5	45342	45342	26.3214	26.3214	0	19.53	26.35	32.94	53.05	0	733.5	2.59205
19.5	66433	66433	27.2138	27.2138	1.56	20.7	27.16	33.47	52.62	0	1034.02	3.79775
20.5	96058	96051	28.0391	28.0391	2.92	21.62	27.83	34.09	52.79	0	407.51	5.49091
21.5	134577	134577	28.6251	28.6251	3.88	22.27	28.37	34.53	52.92	0	759.38	7.69331
22.5	182649	182649	29.0594	29.0594	4.55	22.71	28.72	34.82	52.98	0	597.19	10.4414
23.5	240841	240837	29.3954	29.3954	5.17	23.12	29.01	35.09	53.04	0	813.76	13.7678
24.5	307957	307956	29.6479	29.6479	5.61	23.42	29.27	35.3	53.11	0	883.39	17.6048
25.5	383775	383769	29.7941	29.7941	5.95	23.6	29.4	35.37	53.02	0	1119.89	21.9388
26.5	462860	462857	29.9239	29.9239	6.19	23.76	29.5	35.48	53.05	0	1639.21	26.46
27.5	547050	547046	30.0152	30.0152	6.45	23.89	29.6	35.52	52.96	0	681.18	31.2728
28.5	1336597	1336591	30.1377	30.1377	6.65	23.97	29.64	35.52	52.84	0	64878.7	76.4084
29.5	6	6	14.0766	30.1201	0	0	14.5581	10.6	24.2917	0	31.0515	0.000343
30.5	781839	781833	30.0968	30.0968	6.9	24.04	29.64	35.47	52.61	0	8741.27	44.6948
31.5	849054	849053	30.2221	30.2221	7.02	24.04	29.59	35.39	52.41	0	64878.7	48.5375
