#WinSize=200	WinCount=14410707	DepthCount=13473993
#All-N windows count: 0
#GC%	RefCnt	DepthCnt	Mean	SmoothedMean	Small	Q1	Mid	Q3	Big	Min	Max	Refcntcal
0.5	936927	331	0.130967	0.130967	0	0	0	0.1	0.245	0	2.425	0.0357906
1.5	324	324	0.193457	0.193457	0	0	0	0.2	0.5	0	3.77	0.0350337
2.5	401	401	0.282868	0.282868	0	0	0	0.33	0.825	0	5.01	0.0433596
3.5	470	470	0.335436	0.335436	0	0	0	0.4	1	0	5.74	0.0508205
4.5	491	491	0.535234	0.535234	0	0	0.01	0.675	1.63	0	11.9	0.0530912
5.5	506	506	0.664121	0.664121	0	0	0.0625	0.99	2.44	0	5.44	0.0547131
6.5	517	517	0.903346	0.903346	0	0	0.355	1.27	3.115	0	9.79	0.0559026
7.5	551	551	2.11875	2.11875	0	0	0.64	1.99	4.64	0	283.855	0.0595789
8.5	556	556	1.88884	1.88884	0	0	1.1325	2.745	6.845	0	94.12	0.0601196
9.5	610	609	4.6	4.6	0	0.035	1.355	3.525	8.545	0	1133.13	0.0658504
10.5	670	670	2.81937	2.81937	0	0.3125	1.9225	4.255	10.085	0	36.87	0.0724463
11.5	732	732	3.68232	3.68232	0	0.46	2.6325	5.54	12.925	0	36.955	0.0791502
12.5	828	828	4.55768	4.55768	0	1.0425	3.575	6.57	14.85	0	30.185	0.0895306
13.5	931	931	6.31035	6.31035	0	2.03	5.08	8.67	18.63	0	59.155	0.100668
14.5	1265	1265	8.01768	8.01768	0	2.78	6.445	10.95	23.085	0	39.94	0.136783
15.5	1630	1629	10.7137	10.7137	0	4.585	8.565	14.355	28.99	0	181.86	0.176142
16.5	2231	2229	13.5023	13.5023	0	6.445	11.655	19.26	38.23	0	63.785	0.241019
17.5	3401	3401	17.2495	17.2495	0	9.065	16.07	24.595	47.615	0	93.835	0.367746
18.5	5423	5423	20.0766	20.0766	0	11.935	19.925	27.445	50.615	0	151.745	0.586382
19.5	9501	9501	22.5066	22.5066	0	15.22	22.84	29.33	50.465	0	149.545	1.02733
20.5	16332	16331	24.2551	24.2551	0	17.745	24.32	30.595	49.755	0	452.665	1.76585
21.5	27099	27098	25.8072	25.8072	1.87	19.7488	25.93	31.675	49.54	0	388.535	2.93007
22.5	44047	44045	26.749	26.749	3.97	20.99	26.805	32.35	49.315	0	412.365	4.76253
23.5	68271	68267	27.656	27.656	5.185	21.945	27.685	33.12	49.875	0	339.655	7.38163
24.5	100670	100669	28.3002	28.3002	6.235	22.655	28.175	33.605	50.025	0	787.805	10.8852
25.5	140516	140508	28.817	28.817	6.99	23.215	28.665	34.04	50.275	0	707.31	15.193
26.5	186554	186554	29.1873	29.1873	7.38	23.595	29.02	34.405	50.62	0	1108.58	20.1719
27.5	239470	239469	29.5124	29.5124	8.04	23.98	29.29	34.61	50.555	0	773.075	25.8935
28.5	458399	458395	29.7615	29.7615	8.555	24.31	29.575	34.815	50.57	0	1186.06	49.5657
29.5	178606	178605	29.8739	29.8739	8.89	24.495	29.695	34.9	50.505	0	938.08	19.3123
30.5	395038	395035	29.953	29.953	9.095	24.595	29.745	34.93	50.43	0	783.509	42.7146
31.5	439571	439569	30.0357	30.0357	9.355	24.675	29.795	34.89	50.21	0	16500	47.53
32.5	479002	479000	30.0628	30.0628	9.53	24.715	29.77	34.84	50.025	0	23805.7	51.7937
33.5	512788	512783	30.5189	30.5189	9.72	24.745	29.76	34.765	49.795	0	39387.3	55.4466
34.5	541380	541376	30.4744	30.4744	9.835	24.69	29.63	34.595	49.45	0	21973.1	58.5383
35.5	562520	562517	30.8665	30.8665	9.88	24.59	29.49	34.4	49.11	0	63301.6	60.8243
36.5	576833	576831	30.9949	30.9949	9.935	24.485	29.335	34.185	48.735	0	57323.8	62.372
37.5	579166	579161	30.8708	30.8708	9.935	24.335	29.135	33.935	48.335	0	52430.2	62.624
38.5	569019	569012	30.4642	30.4642	9.97	24.17	28.9	33.64	47.845	0	65206.3	61.5266
39.5	552744	552739	29.687	29.687	10.005	23.98	28.625	33.3	47.275	0	65206.3	59.767
40.5	530854	530849	29.4723	29.4723	10.05	23.785	28.355	32.945	46.685	0	65121.5	57.4
41.5	509072	509070	28.5434	28.5434	10.035	23.555	28.03	32.57	46.09	0	36873.2	55.0451
42.5	486379	486375	28.0904	28.0904	10.02	23.3	27.71	32.155	45.435	0	20650	52.5911
43.5	464030	464029	27.5961	27.5961	9.96	23	27.34	31.695	44.735	0	15758	50.1749
44.5	443954	443948	27.1862	27.1862	9.86	22.675	26.945	31.22	44.035	0	12839.6	48.0035
45.5	425918	425917	26.661	26.661	9.63	22.28	26.5	30.715	43.365	0	5375.72	46.0539
46.5	407373	407372	26.1934	26.1934	9.43	21.89	26.05	30.2	42.665	0	6457.25	44.0486
47.5	389123	389120	25.7804	25.7804	9.225	21.52	25.62	29.72	42.015	0	6553.26	42.0751
48.5	369171	369171	25.3145	25.3145	8.945	21.08	25.145	29.17	41.305	0	11912.8	39.918
49.5	348107	348107	24.8067	24.8067	8.73	20.695	24.705	28.675	40.645	0	5103.44	37.6404
50.5	326339	326333	24.2881	24.2881	8.39	20.24	24.195	28.14	39.99	0	10170.8	35.286
51.5	307528	307527	23.844	23.844	8.09	19.81	23.735	27.625	39.345	0	15939.8	33.2525
52.5	284123	284116	23.2804	23.2804	7.675	19.33	23.25	27.1	38.755	0	2990.76	30.7211
53.5	252828	252825	22.7804	22.7804	7.28	18.865	22.775	26.59	38.175	0	2921.2	27.3377
54.5	214355	214355	22.2353	22.2353	6.715	18.315	22.265	26.05	37.65	0	380.935	23.1779
55.5	174106	174105	21.667	21.667	6.08	17.705	21.65	25.455	37.08	0	1278.83	18.8258
56.5	200394	200393	20.8054	20.8054	5.07	16.78	20.755	24.59	36.305	0	2423.17	21.6682
57.5	103383	103382	19.7524	19.7524	3.805	15.655	19.66	23.555	35.405	0	1905.13	11.1786
58.5	45561	45559	18.9843	18.9843	2.865	14.805	18.84	22.765	34.705	0	1203.64	4.92624
59.5	79462	79461	18.2723	18.2723	2.17	14.07	18.085	22.005	33.905	0	2063.76	8.59202
60.5	67109	67106	17.1893	17.1893	1.155	13.015	16.965	20.925	32.77	0	578.735	7.25609
61.5	57387	57387	16.2146	16.2146	0.335	11.995	15.855	19.79	31.48	0	645.185	6.20518
62.5	49066	49066	15.0908	15.0908	0	10.91	14.735	18.6	30.13	0	1357.04	5.30545
63.5	41943	41943	14.0737	14.0737	0	9.935	13.61	17.475	28.785	0	1353.81	4.53524
64.5	35327	35325	12.906	12.906	0	8.9	12.485	16.235	27.235	0	367.1	3.81965
65.5	29349	29348	11.8201	11.8201	0	7.865	11.31	14.99	25.675	0	322.795	3.17336
66.5	23765	23765	10.8763	10.8763	0	7.065	10.39	13.995	24.375	0	183.06	2.56968
67.5	18985	18985	10.0871	10.0871	0	6.2	9.51	13.085	23.4	0	159.885	2.05282
68.5	15541	15541	9.31053	9.31053	0	5.525	8.68	12.36	22.59	0	157.175	1.68043
69.5	12548	12548	8.67257	8.67257	0	4.86	8.015	11.63	21.775	0	152.13	1.3568
70.5	10306	10306	8.07342	8.07342	0	4.26	7.325	11.03	21.18	0	215.98	1.11437
