#WinSize=150	WinCount=20856871	DepthCount=19338959									
#All-N windows count: 0											
#GC%	RefCnt	DepthCnt	Mean	Small	Q1	Mid	Q3	Big	Min	Max	Refcntcal
0.5	1518558	853	0.19857	0	0	0	0.146667	0.366667	0	6.32667	0.0855838
1.5	359	359	0.275005	0	0	0	0.273333	0.673333	0	5	0.0360194
2.5	889	889	0.372553	0	0	0	0.473333	1.17333	0	5.26	0.0891958
3.5	558	558	0.486703	0	0	0	0.546667	1.34667	0	9.38	0.0559857
4.5	1112	1112	0.845959	0	0	0.0566667	1.10667	2.74667	0	22.4	0.11157
5.5	588	588	0.948617	0	0	0.223333	1.28	3.14667	0	13.3267	0.0589956
6.5	1276	1276	4.07117	0	0	0.313333	1.84667	4.61333	0	1885.45	0.128025
7.5	664	663	1.72157	0	0	0.64	2.56	6.28	0	18.0267	0.0665206
8.5	1410	1410	2.60711	0	0	1.14	3.5	8.74	0	397.987	0.141469
9.5	775	775	2.89985	0	0	1.67333	4.27333	10.68	0	33.4333	0.0777579
10.5	1788	1788	4.47584	0	0.353333	2.53	6.14	14.7933	0	370.587	0.179395
11.5	906	906	5.4634	0	0.791667	3.81	8.06667	18.96	0	44.2933	0.0909015
12.5	2392	2392	7.5362	0	1.75333	5.49333	10.32	23.1667	0	88.4133	0.239996
13.5	1484	1484	10.1792	0	3	7.89333	13.8733	29.8867	0	76.92	0.148894
14.5	3967	3965	13.624	0	4.74667	10.8133	19.7333	42.1	0	202.213	0.397819
15.5	2746	2745	18.0237	0	7.64	14.9467	27.6267	57.2733	0	198.073	0.275413
16.5	8395	8395	22.2881	0	10.9867	20.74	32.5867	64.7133	0	208.207	0.842293
17.5	6547	6547	26.0654	0	14.8267	25.9267	35.7867	67.14	0	915.393	0.656878
18.5	21649	21648	28.9292	0	18.5283	29.75	38.2	67.58	0	408.993	2.172
19.5	17306	17306	31.2051	0	22.1667	31.9933	39.9267	66.2067	0	530.84	1.73636
20.5	55405	55401	33.138	0.18	24.9	33.8733	41.3867	66.0467	0	450.007	5.55853
21.5	42453	42451	34.632	3.36667	26.7867	35.1933	42.4133	65.8533	0	630.973	4.25922
22.5	127007	127005	35.5082	5.56667	28.0733	36.1133	43.08	65.56	0	602.807	12.7428
23.5	89727	89725	36.3369	7.21333	29.0733	36.8467	43.6533	65.52	0	915.88	9.00235
24.5	248420	248418	36.9624	8.18667	29.7867	37.36	44.1867	65.78	0	598.84	24.9245
25.5	162408	162396	37.3972	9.24667	30.4067	37.8133	44.5133	65.6733	0	1262.37	16.2936
26.5	413261	413256	37.753	9.72667	30.8	38.1667	44.8533	65.9267	0	2622.85	41.4631
27.5	252688	252680	38.0953	10.3733	31.2	38.4733	45.0867	65.9133	0	1834.28	25.3521
28.5	599686	599683	38.2964	10.84	31.4867	38.6933	45.2533	65.9	0	23355.9	60.1678
29.5	345176	345172	38.4376	11.2	31.7133	38.8867	45.3933	65.9133	0	1467.21	34.632
30.5	774527	774524	38.7258	11.4067	31.8333	38.9733	45.4533	65.88	0	158328	77.7101
31.5	424265	424263	38.6723	11.7133	31.98	39.04	45.4933	65.76	0	15285	42.5675
32.5	917026	917024	39.2554	11.9267	32.0533	39.0867	45.4733	65.6	0	66429.9	92.0075
33.5	486639	486628	39.7185	12.1133	32.0733	39.06	45.38	65.34	0	134087	48.8247
34.5	1018133	1018132	39.9603	12.2467	32.0933	39.0133	45.3267	65.1733	0	182662	102.152
35.5	525118	525112	41.0547	12.4133	32.0733	38.9533	45.18	64.84	0	125388	52.6859
36.5	1067630	1067625	40.8327	12.3267	31.9267	38.78	44.9933	64.5933	0	135907	107.118
37.5	530999	530995	40.906	12.32	31.8067	38.62	44.8	64.2867	0	174592	53.2762
38.5	1041201	1041197	40.8846	12.36	31.6467	38.3867	44.5067	63.7933	0	207870	104.466
39.5	502285	502283	39.3998	12.4667	31.5067	38.1667	44.2	63.24	0	88860.2	50.3954
40.5	957566	957554	39.5326	12.5467	31.3467	37.92	43.88	62.68	0	270261	96.074
41.5	456377	456369	38.1981	12.5933	31.14	37.62	43.5067	62.0533	0	38556.2	45.7887
42.5	866351	866345	37.4951	12.54	30.8933	37.3	43.1333	61.4933	0	31572.2	86.9228
43.5	412539	412536	36.7728	12.48	30.6067	36.9333	42.6933	60.82	0	21153.8	41.3909
44.5	782274	782271	36.1904	12.3133	30.2733	36.5533	42.2467	60.2067	0	9884.48	78.4874
45.5	375332	375326	35.7658	11.98	29.84	36.0867	41.7467	59.6067	0	10622.4	37.6575
46.5	720768	720764	35.3027	11.58	29.3467	35.56	41.1933	58.96	0	16220.3	72.3162
47.5	350247	350243	34.637	10.9667	28.7133	34.9533	40.5467	58.2933	0	19696.8	35.1408
48.5	687374	687369	33.9339	10.4467	28.1067	34.3067	39.88	57.54	0	6413.83	68.9656
49.5	339685	339685	33.2939	9.69333	27.4067	33.68	39.22	56.94	0	10961.9	34.0815
50.5	658699	658681	32.5873	9.10667	26.7667	33.02	38.54	56.2	0	24878.4	66.0873
51.5	311299	311299	31.854	8.57333	26.1867	32.46	37.9333	55.5467	0	3609.83	31.2335
52.5	564550	564545	31.3288	8.04667	25.64	31.9333	37.3733	54.9733	0	4355.15	56.6423
53.5	246577	246575	30.8087	7.54	25.1267	31.4	36.8533	54.44	0	3483.39	24.7395
54.5	412530	412525	30.4286	7.13333	24.6733	30.9533	36.3667	53.9067	0	7987.01	41.3898
55.5	170922	170916	29.7293	6.38667	23.98	30.3	35.7133	53.3	0	1271.85	17.1485
56.5	282468	282467	29.1383	5.48	23.2667	29.6733	35.1267	52.9133	0	2535.96	28.3407
57.5	219998	219994	28.0213	3.93333	21.9867	28.4867	34.0267	52.0733	0	3732.03	22.0726
58.5	91909	91909	27.0055	2.79333	20.9133	27.42	33	51.0933	0	933.34	9.22148
59.5	81566	81566	26.1819	1.68667	20	26.5367	32.2133	50.5333	0	3782.26	8.18374
60.5	139006	138999	25.028	0.206667	18.6733	25.2267	30.9867	49.4467	0	6163.68	13.9461
61.5	59204	59202	23.562	0	17.0667	23.7067	29.5867	48.3467	0	1891.53	5.9399
